Wall time;Step;Value
1580836134;0;0.576895356
1580838196;0;0.489317656
1580838928;250;0.318605155
1580839648;500;0.328924
1580840362;750;0.294420153
1580841068;1000;0.207552239
1580841764;1250;0.189622879
1580842445;1500;0.198369905
1580843130;1750;0.203102708
1580843825;2000;0.18318145
1580849239;4000;0.20487985
1580854684;6000;0.142674014
1580860012;8000;0.158023357
1580865546;10000;0.154699445
1580870981;12000;0.152688861
1580876438;14000;0.178713709
1580881893;16000;0.126889721
1580887223;18000;0.144119918
1580892610;20000;0.123914205
1580898418;22000;0.164093629
1580904034;24000;0.134320766
1580909434;26000;0.124887303
1580914677;28000;0.089449927
1580920007;30000;0.127776101
1580925301;32000;0.105835393
1580930635;34000;0.120672308
1580936088;36000;0.126148984
1580941435;38000;0.150381476
1580946897;40000;0.177863419
1580952247;42000;0.109328777
1580957641;44000;0.158354878
1580963134;46000;0.154054418
1580968547;48000;0.098725475
1580973953;50000;0.15455465
1580979407;52000;0.128209785
1580984849;54000;0.10354986
1580990421;56000;0.118980505
1580996134;58000;0.086118586
1581001770;60000;0.148433715
1581007288;62000;0.120123789
1581012864;64000;0.112599939
1581018541;66000;0.115884282
