Wall time;Step;Value
1581272187;0;0.472233891
1581272470;250;0.463891983
1581272745;500;0.403405249
1581273017;750;0.221601546
1581273294;1000;0.244354472
1581273566;1250;0.226876274
1581273839;1500;0.187505901
1581274113;1750;0.231648445
1581274383;2000;0.349062592
1581276546;4000;0.155327469
1581278696;6000;0.15425171
1581280860;8000;0.172545761
1581283027;10000;0.199154541
1581285176;12000;0.150299206
1581287347;14000;0.12700884
1581289492;16000;0.13419649
1581291652;18000;0.105172038
1581293820;20000;0.136997029
1581295971;22000;0.130150571
1581298136;24000;0.122179642
1581300282;26000;0.150908485
1581302449;28000;0.120773502
1581304617;30000;0.176808953
1581306762;32000;0.107833251
1581308921;34000;0.176500872
1581311058;36000;0.134728745
1581313226;38000;0.139597923
1581315382;40000;0.103065893
1581317522;42000;0.126335159
1581319681;44000;0.101555832
1581321789;46000;0.139520139
1581323939;48000;0.115516819
1581326101;50000;0.182145685
1581328232;52000;0.118121192
1581330387;54000;0.139492944
1581332530;56000;0.194626227
1581334689;58000;0.101648375
1581336862;60000;0.094312325
1581339004;62000;0.155581906
1581341169;64000;0.097099364
1581343315;66000;0.119330026
