Wall time;Step;Value
1581271726;0;3.555207491
1581271911;250;0.484019488
1581272096;500;0.507976174
1581272279;750;0.466237396
1581272462;1000;0.496011704
1581272644;1250;0.482376277
1581272826;1500;0.51641196
1581273008;1750;0.412446409
1581273192;2000;0.522301257
1581274635;4000;0.488635361
1581276067;6000;0.505633473
1581277512;8000;0.471559942
1581278957;10000;0.486658245
1581280389;12000;0.478332937
1581281830;14000;0.44948554
1581283264;16000;0.535079181
1581284710;18000;0.493745267
1581286157;20000;0.450284272
1581287587;22000;0.441565812
1581289086;24000;0.460920513
1581290541;26000;0.524082422
1581292015;28000;0.464025795
1581293463;30000;0.414716184
1581294894;32000;0.499011338
1581296339;34000;0.462845385
1581297774;36000;0.448285371
1581299216;38000;0.461633712
1581300657;40000;0.473093152
1581302093;42000;0.445871979
1581303547;44000;0.4215765
1581304979;46000;0.469819516
1581306426;48000;0.516632557
1581307872;50000;0.463471353
1581309302;52000;0.475257754
1581310743;54000;0.477076113
1581312171;56000;0.447221875
1581313612;58000;0.431753397
1581315054;60000;0.496403486
1581316483;62000;0.453167409
1581317924;64000;0.472902954
1581319353;66000;0.455975026
