Wall time;Step;Value
1581271555;0;0.46130994
1581271731;250;0.336830199
1581271921;500;0.278493911
1581272125;750;0.344324499
1581272310;1000;0.286384374
1581272491;1250;0.265594482
1581272672;1500;0.285111457
1581272989;1750;0.218185142
1581273204;2000;0.209914088
1581274930;4000;0.21191965
1581276405;6000;0.169204965
1581278054;8000;0.179976523
1581279490;10000;0.141060635
1581281022;12000;0.198650166
1581282652;14000;0.170059264
1581284093;16000;0.198569298
1581285525;18000;0.158276409
1581286962;20000;0.160714984
1581288547;22000;0.150188699
1581290101;24000;0.125305653
1581291521;26000;0.145080432
1581292951;28000;0.159240618
1581294385;30000;0.195767358
1581295803;32000;0.137347043
1581297230;34000;0.12259572
1581298646;36000;0.157210782
1581300063;38000;0.136419713
1581301485;40000;0.141925797
1581302900;42000;0.140419379
1581304320;44000;0.114663966
1581305735;46000;0.111045539
1581307156;48000;0.12309064
1581308579;50000;0.099771231
1581309985;52000;0.122934721
1581311405;54000;0.133054346
1581312810;56000;0.113849863
1581314227;58000;0.104941681
1581315649;60000;0.171374097
1581317057;62000;0.124734648
1581318473;64000;0.14783594
1581319877;66000;0.098216347
