Wall time;Step;Value
1574602834;0;0.504219055
1574603048;250;0.279735059
1574603239;500;0.266931325
1574603427;750;0.214964241
1574603608;1000;0.193553686
1574603786;1250;0.218414277
1574603965;1500;0.22673957
1574604140;1750;0.20241037
1574604314;2000;0.190024376
1574605664;4000;0.156396464
1574606992;6000;0.15519619
1574608308;8000;0.179761007
1574609641;10000;0.177907273
1574610947;12000;0.106906652
1574612263;14000;0.12688835
1574613588;16000;0.163748354
1574614907;18000;0.123531014
1574616244;20000;0.13374728
1574617566;22000;0.120334402
1574618889;24000;0.117107719
1574620216;26000;0.149118513
1574621534;28000;0.096429333
1574622866;30000;0.122254811
1574624180;32000;0.124715768
1574625502;34000;0.124756418
1574626830;36000;0.148933038
1574628145;38000;0.125493839
1574629479;40000;0.119067766
1574630792;42000;0.134597376
1574632111;44000;0.116551787
1574633439;46000;0.179889336
1574634762;48000;0.113363229
1574636098;50000;0.136811525
1574637437;52000;0.102510311
1574638766;54000;0.124967977
1574640098;56000;0.090531982
1574641411;58000;0.164128676
1574642748;60000;0.112606756
1574644070;62000;0.085395284
1574645388;64000;0.101319782
1574646721;66000;0.114990562
