Wall time;Step;Value
1581322433;0;1.397529006
1581322612;250;0.530584335
1581322792;500;0.553463638
1581322971;750;0.609295189
1581323151;1000;0.584712327
1581323330;1250;0.564620972
1581323509;1500;0.585619926
1581323691;1750;0.556119621
1581323871;2000;0.583963573
1581325286;4000;0.462928593
1581326707;6000;0.326160818
1581328134;8000;0.255871594
1581329550;10000;0.275361568
1581330958;12000;0.261665493
1581332378;14000;0.248758823
1581333788;16000;0.24700354
1581335206;18000;0.190085918
1581336627;20000;0.218245193
1581338033;22000;0.203553244
1581339453;24000;0.231095284
1581340862;26000;0.23299548
1581342296;28000;0.222527623
1581343713;30000;0.212953448
1581345120;32000;0.183506906
1581346584;34000;0.176971525
1581348148;36000;0.236804277
1581349565;38000;0.224117264
1581350980;40000;0.228801876
1581352379;42000;0.262530565
1581353869;44000;0.228690565
1581355285;46000;0.259790957
1581356731;48000;0.19437997
1581358149;50000;0.191451132
1581359551;52000;0.207392633
1581360964;54000;0.16370295
1581362360;56000;0.16382882
1581363767;58000;0.194644675
1581365174;60000;0.290805131
1581366566;62000;0.222974822
1581367971;64000;0.191365585
1581369362;66000;0.178619459
