Wall time;Step;Value
1581344952;0;1.396351695
1581345597;250;0.485140204
1581346246;500;0.308793366
1581346893;750;0.283008337
1581347536;1000;0.22908099
1581348179;1250;0.249800205
1581348836;1500;0.234400168
1581349507;1750;0.216295674
1581350162;2000;0.174780428
1581355286;4000;0.186178982
1581360403;6000;0.156733111
1581365560;8000;0.154414743
1581370703;10000;0.200422972
1581375824;12000;0.169640824
1581380971;14000;0.131027788
1581386089;16000;0.162688255
1581391209;18000;0.131345615
1581396337;20000;0.13913855
1581401433;22000;0.146397278
1581406553;24000;0.140030161
1581411666;26000;0.123258285
1581416804;28000;0.147724405
1581421929;30000;0.113131918
1581427036;32000;0.118275575
1581432162;34000;0.141205832
1581437273;36000;0.117776074
1581442389;38000;0.154579088
1581447495;40000;0.125946581
1581452622;42000;0.162176639
1581457759;44000;0.174969688
1581462869;46000;0.107177272
1581467978;48000;0.138545051
1581473091;50000;0.098839276
1581478197;52000;0.135059744
1581483313;54000;0.176597774
1581488423;56000;0.120876297
1581493548;58000;0.149140313
1581498706;60000;0.153448462
1581503829;62000;0.152375713
1581508986;64000;0.198694468
1581514091;66000;0.129480436
